X,Watershed,SiteName,Visit,Gradient,LWfreq,Braid,Sinuosity,D50,Bldr,Cbl,Gvl,Sndf,bfw,bfd,Planform,Threads,Bedform,Substrate,Confinement,RS_name,Geo_Cond,LONG_DD,LAT_DD,RS
18,Wenatchee,CBW05583-095403,3466,0.104,53.46,1,1.23,22,0,2.37,60.62,36.09,46.52,1.21,Meandering,Single,Pool-Riffle,gravel-sand,UCV,ucv_meandering_gravel_bed,good,658612,5305627,AFgood
19,Upper Grande Ronde,CBW05583-108010,2014,1,43.91475041,1,1.395,26,0.545,25.545,51.755,17.15,6.505,0.285,Meandering,Single,Pool-Riffle,cobble-gravel,UCV,ucv_lowSin_gravel_bed,good,NA,NA,AFgood
24,Tucannon,CBW05583-170443,4147,1,81.505,1.72,1.13,51.5,2.03,21.36,34.75,10.52,25.08,0.57,Anabranching,Multi,Pool-Riffle,cobble-gravel,UCV,low-moderate sinuosity wandering gravel bed,NA,NA,NA,AFgood
58,Lemhi,CBW05583-452047,1448,0.365,21.3244626,1.11,1.345,19,0.45,12.545,62.045,21.385,14.695,0.35,Wandering,Transitional,Pool-Riffle,gravel-sand,UCV,UCV_Meandering_Fine_Grained,moderate,NA,NA,AFgood
59,Upper Grande Ronde,CBW05583-487322,797,1.5,26.65397169,1.155,1.265,54,3.715,43.31,40.695,5.22,8.1,0.23,Wandering,Transitional,Pool-Riffle,cobble-gravel ,UCV,ucv_lowSin_gravel_bed,moderate,NA,NA,AFgood
60,Upper Grande Ronde,CBW05583-491690,3701,0.7285,75.405,1.27,1.25,54.5,0.665,31.255,45.095,16.47,20.075,0.41,Wandering,Transitional,Pool-Riffle,cobble-gravel ,UCV,ucv_lowSin_gravel_bed,moderate,NA,NA,AFgood
71,Entiat,ENT00001-1BC1,2447,0.524,56.135,1.93,1.18,94,13.48,35.55,34.25,17.655,34.995,0.64,Anabranching,Multi,Plane-Bed,cobble-gravel ,PCV,pcv_margin_controlled_wandering_cobble_bed,poor,707421,5282609,AFgood
76,Entiat,ENT00001-3A5,1846,0.205,33.81,1,1.41,47,2.335,16.705,49.115,30.615,35.01,0.81,Meandering,Single,Pool-Riffle,gravel-sand,UCV,ucv_wandering_planControlled_dfp,moderate,692654,5304562,AFgood
82,John Day,JDW00001-Mazama A,2790,1,NA,1,1.24,34,6.86,22.64,38.13,27.98,4.32,0.3,Sinuous,Single,Pool-Riffle,cobble-gravel-sand,PCV,pcv_fanControlled_dfp,,720257,4946012,AFgood
90,Wenatchee,LWIN0001-000041,3275,0.158,24.79,1,1.465,24,3.07,5.47,51.865,30.4,40.58,1.15,Meandering,Single,Pool-Riffle,gravel-sand,UCV,Moderate to High Sinuosity Gravel-Sand Bed,NA,NA,NA,AFgood
102,Walla Walla,SFT00001-000023,2484,2,31.8954992,1.615,1.18,52.5,2.705,20.705,38.23,11.955,18.12,0.24,Anabranching,Multi,Plane-Bed,cobble-gravel ,PCV,pcv_lowSin_planControlled_cobble_bed,good,425000,5109453,AFgood
103,Walla Walla,SFT00001-000024,3464,1,31.20649095,1,1.13,69,3.84,18.28,55.7,15.7,13.95,0.44,Sinuous,Single,Plane-Bed,gravel,PCV,pcv_lowSin_planControlled_cobble_bed,good,426221,5115963,AFgood
107,Wenatchee,WENMASTER-000195,2563,0.922,28.16420585,1,1.46,52,0,40.69,47.7,9.65,10.09,0.43,Meandering,Single,Pool-Riffle,gravel-sand,UCV,ucv_alluvial_fan,good,669782,5308280,AFgood
111,Yankee Fork,YFI00001-001078,3146,0.971,21.34,1,1.39,47,3.93,42.57,45.35,0.75,10.3,0.44,Sinuous,Single,Plane-Bed,cobble-gravel ,UCV,ucv_wandering_gravel_bed,good,NA,NA,AFgood
15,Entiat,CBW05583-055979,3979,0.774,156.09,1.93,1.16,97,10.25,43.95,31.5,6.69,45.55,0.7,Anabranching,Multi,Pool-Riffle,cobble-gravel,PCV,Low to Moderate Sinuosity Planform-Controlled Discontinuous Floodplain,good,684190,5314041,AFintact
18,Wenatchee,CBW05583-095403,3466,0.104,53.46,1,1.23,22,0,2.37,60.62,36.09,46.52,1.21,Meandering,Single,Pool-Riffle,gravel-sand,UCV,ucv_meandering_gravel_bed,good,658612,5305627,AFintact
19,Upper Grande Ronde,CBW05583-108010,2014,1,43.91475041,1,1.395,26,0.545,25.545,51.755,17.15,6.505,0.285,Meandering,Single,Pool-Riffle,cobble-gravel,UCV,ucv_lowSin_gravel_bed,good,NA,NA,AFintact
24,Tucannon,CBW05583-170443,4147,1,81.505,1.72,1.13,51.5,2.03,21.36,34.75,10.52,25.08,0.57,Anabranching,Multi,Pool-Riffle,cobble-gravel,UCV,low-moderate sinuosity wandering gravel bed,NA,NA,NA,AFintact
60,Upper Grande Ronde,CBW05583-491690,3701,0.7285,75.405,1.27,1.25,54.5,0.665,31.255,45.095,16.47,20.075,0.41,Wandering,Transitional,Pool-Riffle,cobble-gravel ,UCV,ucv_lowSin_gravel_bed,moderate,NA,NA,AFintact
71,Entiat,ENT00001-1BC1,2447,0.524,56.135,1.93,1.18,94,13.48,35.55,34.25,17.655,34.995,0.64,Anabranching,Multi,Plane-Bed,cobble-gravel ,PCV,pcv_margin_controlled_wandering_cobble_bed,poor,707421,5282609,AFintact
82,John Day,JDW00001-Mazama A,2790,1,NA,1,1.24,34,6.86,22.64,38.13,27.98,4.32,0.3,Sinuous,Single,Pool-Riffle,cobble-gravel-sand,PCV,pcv_fanControlled_dfp,,720257,4946012,AFintact
5,John Day,CBW05583-019570,3528,0.683,NA,1,1.06,79,3.25,36.35,25.13,34.27,11.48,0.54,Sinuous,Single,Plane-Bed,cobble-gravel-sand,PCV,pcv_margin_controlled_dfp,good,296771,4915623,PCpoor
12,Methow ,CBW05583-036697,1521,0.528,6.562002723,1,1.05,86,10.72,52.12,25.52,8.72,33.94,0.76,Sinuous,Single,Plane-Bed,cobble-gravel,PCV,Low To Moderate Sinuosity Planform-Controlled Discontinuous Floodplain,good,710714,5395006,PCpoor
33,John Day,CBW05583-207602,665,0.6935,2.47,1,1.005,59,7.74,36.005,42.445,10.245,5.62,0.33,Straight,Single,Plane-Bed,cobble-gravel,PCV,pcv_marginControlled_dfp,poor,379895,4938931,PCpoor
39,South Fork Salmon,CBW05583-241618,2060,1,15.025,1,1.08,102,29.745,33.37,30.46,5.06,18.675,0.715,Sinuous,Single,Plane-Bed,boulder-cobble-sand,PCV,pcv_margin_controlled_cobble_bed,moderate,590019,5013154,PCpoor
43,Lemhi,CBW05583-315823,1587,1,17.70494503,1,1.09,113,16.75,35.5,37.23,6.84,14.1,0.4,Sinuous,Single,Plane-Bed,boulder-cobble-gravel,PCV,PCV_LowSin_PlanControlled_DFP,poor,NA,NA,PCpoor
