visit.dir,visit.id,nrei.locs.csv,nrei.locs.shp,all.nrei.pts.csv,all.nrei.pts.shp,suit.nrei.pts.shp,suit.nrei.poly,suit.nrei.raster,ch.redd.locs.csv,ch.redd.locs.shp,ch.suit.poly,ch.raster,ch.juv.locs.csv,ch.juv.locs.shp,ch.juv.suit.poly,ch.juv.raster,st.redd.locs.csv,st.redd.locs.shp,st.suit.poly,st.raster,delft.raster,delft.poly,gut.run,gut.t2,gut.t2.trans,gut.t3
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2338,2338,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2435,2435,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2441,2441,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2447,2447,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2458,2458,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2459,2459,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2484,2484,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2499,2499,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2546,2546,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2556,2556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2563,2563,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2668,2668,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2696,2696,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2769,2769,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2771,2771,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2785,2785,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2790,2790,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2898,2898,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_294,294,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3146,3146,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3161,3161,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_323,323,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3275,3275,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
