visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
3275,GU,Transition,4,1722.729,216.356,3120.548,6890.914,1493.288,261.699,2594.828,5973.151,0.249,0.867
3413,GU,Bank,11,10.227,8.19,7.341,112.5,48.564,39.8,36.081,534.2,0.147,4.749
3413,GU,Glide-Run,2,117.332,117.332,17.76,234.664,251.576,251.576,33.127,503.151,0.307,2.144
3413,GU,Margin Attached Bar,14,8.183,2.89,12.481,114.56,24.829,13.2,29.041,347.6,0.15,3.034
3413,GU,Pocket Pool,5,1.142,0.98,0.361,5.71,6.28,6,1.238,31.4,0.007,5.499
3413,GU,Pool,8,7.445,3.85,9.973,59.56,17.625,13,13.116,141,0.078,2.367
3413,GU,Riffle,1,67.03,67.03,NaN,67.03,82.8,82.8,NaN,82.8,0.088,1.235
3413,GU,Transition,7,24.177,29.74,16.264,169.236,90.536,90.8,59.003,633.751,0.222,3.745
3415,GU,Bank,9,43.738,24.46,48.708,393.64,91.889,69.8,81.286,827,0.188,2.101
3415,GU,Glide-Run,1,651.55,651.55,NaN,651.55,802,802,NaN,802,0.311,1.231
3415,GU,Margin Attached Bar,14,18.824,11.045,18.298,263.53,44.514,39.1,31.407,623.2,0.126,2.365
3415,GU,Mid Channel Bar,4,1.737,1.44,1.811,6.946,6.4,6.938,4.754,25.6,0.003,3.685
3415,GU,Pocket Pool,7,1.884,1.74,0.464,13.19,7.429,7.2,1.499,52,0.006,3.943
3415,GU,Pool,13,11.655,6.93,9.617,151.52,17.954,14.6,7.82,233.4,0.072,1.54
3415,GU,Riffle,1,4.1,4.1,NaN,4.1,11.2,11.2,NaN,11.2,0.002,2.732
3415,GU,Transition,2,303.862,303.862,20.348,607.724,499.1,499.1,23.335,998.2,0.29,1.643
3432,GU,Bank,18,6.324,4.675,5.638,113.84,31.211,23.1,25.727,561.796,0.111,4.935
3432,GU,Cascade,13,23.017,15.27,16.101,299.217,43.703,33,26.135,568.138,0.291,1.899
3432,GU,Margin Attached Bar,24,6.607,4.485,6.641,158.58,23.183,19.7,15.906,556.4,0.154,3.509
3432,GU,Mid Channel Bar,6,10.823,9.675,6.981,64.94,22.4,17.9,14.864,134.4,0.063,2.07
3432,GU,Pocket Pool,9,0.946,0.99,0.147,8.51,4.667,4.8,0.557,42,0.008,4.933
3432,GU,Pool,10,2.657,2.58,0.885,26.57,8.18,8,1.645,81.8,0.026,3.079
3432,GU,Rapid,6,17.845,9.44,15.097,107.07,29.633,19.4,18.528,177.799,0.104,1.661
3432,GU,Riffle,4,4.48,4.445,3.376,17.92,12.35,13.5,6.17,49.4,0.017,2.757
3432,GU,Transition,7,33.235,22.39,31.597,232.643,131.676,102,103.797,921.733,0.226,3.962
3464,GU,Bank,8,37.688,36.735,24.297,301.5,98.15,90.4,57.658,785.201,0.107,2.604
3464,GU,Glide-Run,3,284.5,340.88,199.575,853.5,338.6,385.6,189.522,1015.8,0.303,1.19
3464,GU,Margin Attached Bar,11,48.496,21.3,46.887,533.46,59.982,57,41.054,659.8,0.189,1.237
3464,GU,Mid Channel Bar,3,3.097,1.85,2.55,9.29,9.467,6.6,5.853,28.4,0.003,3.057
3464,GU,Pocket Pool,6,1.905,1.605,0.706,11.43,6.967,6.1,1.982,41.8,0.004,3.657
3464,GU,Pond,2,26.535,26.535,29.946,53.07,29,29,23.759,58,0.019,1.093
