GU,GUKey,UnitID,Area,AreainDelft,No.Fish,No.FishBest,SuitArea,BestArea,MedModelVal,MedModelValBest,visit
Glide-Run,GR,8,6481.089404,6297.106804,2234,663,4609.969862,1704.322343,55.4980556,80.06372253,1096
Glide-Run,GR,9,1104.409676,1023.18002,362,163,782.2425585,482.1423951,75.80323417,83.9823912,1096
Margin Attached Bar,Br,10,194.7499359,38.64056483,7,NA,4.919999999,NA,7.408211734,NA,1096
Margin Attached Bar,Br,11,281.9199072,185.290772,1,0,8.970232512,0.042499239,-15.80776994,70.31755847,1096
Margin Attached Bar,Br,12,37.93998751,37.93998752,3,1,12.43755305,4.272524245,9.92258743,85.07681463,1096
Margin Attached Bar,Br,13,1343.699558,419.8992733,6,NA,10.93751091,NA,-25.64696235,NA,1096
Margin Attached Bar,Br,14,3150.108963,383.9997471,6,NA,5.989958322,NA,-27.17288517,NA,1096
Pool,Po,15,46.82998458,46.82998457,8,8,42.26497982,26.0451087,43.73379651,78.1792263,1096
Pool,Po,16,22.89999246,22.89999247,10,7,22.89999247,11.03005305,64.61429247,67.92851133,1096
Pool,Po,17,213.0899298,213.0899299,123,44,213.0899299,90.71001948,63.44007549,68.35352043,1096
Pool,Po,18,39.479987,39.479987,21,NA,13.11002187,NA,-133.73863,NA,1096
Pool,Po,19,778.8797435,778.8797436,311,240,750.9973393,682.4150067,85.7512141,86.85072892,1096
Pool,Po,20,73.32997586,73.32997584,17,16,73.32997584,68.5224961,86.73670578,87.28430135,1096
Pool,Po,21,26.18999138,26.18999138,9,9,26.18999138,26.18999138,80.01996617,80.01996617,1096
Pool,Po,22,217.3999284,208.3700259,107,107,207.845026,207.845026,83.20291643,83.20291643,1096
Pool,Po,23,324.4498932,324.4498932,203,201,324.4498932,322.2348636,80.88343657,80.92028509,1096
Pool,Po,24,18.72999383,18.72999383,22,NA,18.37248146,NA,26.50814632,NA,1096
Pool,Po,25,19.61999354,19.61999354,4,NA,6.367538175,NA,-50.66189191,NA,1096
Riffle,Rf,26,61.20997985,61.20997985,18,4,24.40996788,5.302486683,-142.2594596,70.2407452,1096
Riffle,Rf,27,74.58997544,74.58997547,31,8,69.46497979,15.80248261,58.51325869,70.26011593,1096
Riffle,Rf,28,209.9799309,209.9799308,86,86,209.9799308,209.9799308,79.76332921,79.76332921,1096
Transition,Tr,29,35.14998843,35.14998842,2,NA,0.939939895,NA,39.18213399,NA,1096
Transition,Tr,30,234.4438467,200.4359725,43,4,95.77836882,4.574214121,18.03828339,77.14460192,1096
Transition,Tr,32,2215.703739,1304.012622,133,16,320.6700646,55.17016636,0.723305955,79.94948798,1096
Bank,Bk,1,2.320000221,0.129982302,NA,NA,NA,NA,NA,NA,1164
