"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"709","Pool",34.35,30.8,60.2342105263158,45.4789473684211,69.9603759524914,35.6613664673899,2288.9,1728.2,38,9.74,0.76,3979
"710","Riffle",72,79.8,128.111111111111,98.0888888888889,143.956420874899,58.0275030576977,1153,882.8,9,4.91,0.77,3979
"711","Transition",124,216,320.086666666667,521.013333333333,478.62910016401,760.104382744019,4801.3,7815.2,15,20.44,1.63,3979
"712","Bank",27.2,62,36.9785714285714,84.2714285714286,43.0504744648459,101.630026064162,517.7,1179.8,14,13.35,2.28,3983
"713","Glide-Run",873.1,516.6,668.633333333333,399.133333333333,498.976165095422,281.429517523186,2005.9,1197.4,3,51.74,0.6,3983
"714","Margin Attached Bar",28.5,71,39.76,70.5333333333333,34.299037887381,42.001269822074,596.4,1058,15,15.38,1.77,3983
"715","Mid Channel Bar",63.2,69.2,63.2,69.2,0,0,63.2,69.2,1,1.63,1.09,3983
"716","Pocket Pool",2.45,7.7,2.55,8.2,0.378153408023781,1.35055544129073,15.3,49.2,6,0.39,3.22,3983
"717","Pool",6.7,15,10.9684210526316,16.4842105263158,9.72568493055482,6.59100929363416,208.4,313.2,19,5.38,1.5,3983
"718","Rapid",31.15,45.7,31.15,45.7,29.486352775479,29.5570634535977,62.3,91.4,2,1.61,1.47,3983
"719","Riffle",90.8,79.6,90.8,79.6,0,0,90.8,79.6,1,2.34,0.88,3983
"720","Transition",25.2,102,28.7818181818182,109.836363636364,11.6315792721211,45.4031556772714,316.6,1208.2,11,8.17,3.82,3983
"721","Bank",7.7,24.2,11.0454545454545,39.6909090909091,8.68658317595171,26.9597275411104,121.5,436.6,11,13.46,3.59,3991
"722","Glide-Run",32.8,41.6,37.2,52.2666666666667,11.5468610453231,27.4038926675269,111.6,156.8,3,12.36,1.41,3991
"723","Margin Attached Bar",9.05,33.2,14.7583333333333,40.8,12.8134487823134,29.7260216584117,177.1,489.6,12,19.62,2.76,3991
"724","Mid Channel Bar",3,7.6,3,7.6,2.82842712474619,3.95979797464467,6,15.2,2,0.66,2.53,3991
"725","Pocket Pool",1.1,5.4,1.08,5.56,0.109544511501033,0.753657747256671,5.4,27.8,5,0.6,5.15,3991
"726","Pool",4.15,11.5,5.55,13,3.92772198608812,5.47868597384446,33.3,78,6,3.69,2.34,3991
"727","Rapid",42.6,75.2,37.58,70.24,28.6577563671687,53.6006343246048,187.9,351.2,5,20.82,1.87,3991
"728","Riffle",3.6,12.3,3.6,12.3,3.25269119345812,8.62670273047588,7.2,24.6,2,0.8,3.42,3991
"729","Transition",126.15,341.2,126.15,341.2,2.75771644662753,6.22253967444163,252.3,682.4,2,27.95,2.7,3991
"730","Bank",71.85,125.3,175.48,226.18,208.137133213231,223.59913436525,1754.8,2261.8,10,11.44,1.29,4000
"731","Glide-Run",277.3,131.6,596.657142857143,357.085714285714,759.914722972569,392.650682025688,4176.6,2499.6,7,27.22,0.6,4000
"732","Margin Attached Bar",142.1,116.6,572.52,278.2,707.290928119398,334.843635149304,2862.6,1391,5,18.66,0.49,4000
"733","Mid Channel Bar",7.2,24.8,7.2,24.8,0,0,7.2,24.8,1,0.05,3.44,4000
"734","Pocket Pool",4.8,11.8,5.48,12.64,1.26964561984831,2.38914210544287,27.4,63.2,5,0.18,2.31,4000
