"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"854","Mound Transition",3.4,17.3,13.3466666666667,53.8866666666667,21.2269953910895,76.1379634037079,400.4,1616.6,30,7.77,4.04,916
"855","Plane",7.5,31.6,45.4473684210526,99.5894736842105,91.7333052835534,136.792551351538,863.5,1892.2,19,16.76,2.19,916
"856","Saddle",269.25,164.5,269.25,164.5,86.6205806953521,68.8722004875697,538.5,329,2,10.45,0.61,916
"857","Trough",14,59.8,79.7916666666667,135.366666666667,183.085059508283,156.681003857191,957.5,1624.4,12,18.59,1.7,916
"858","Wall",52.4,143.4,51.4454545454545,132.109090909091,45.7324909366714,117.46421969728,565.9,1453.2,11,10.99,2.57,916
"859","Bowl",6,16.4,9.33076923076923,19.2615384615385,8.99281051872222,14.5646569053044,121.3,250.4,13,11.26,2.06,920
"860","Bowl Transition",1.7,12.2,3.22727272727273,13.2727272727273,3.82325986787663,10.5023435850871,71,292,22,6.59,4.11,920
"861","Mound",3.5,16.4,6.09393939393939,23.6727272727273,6.60203280219147,20.6938890848131,201.1,781.2,33,18.66,3.88,920
"862","Mound Transition",0.7,7.4,1.84782608695652,13.6608695652174,2.62320746249784,14.5442692534188,85,628.4,46,7.89,7.39,920
"863","Plane",3.05,23.5,9.69,43.86,17.078854269473,57.3386651947513,193.8,877.2,20,17.99,4.53,920
"864","Saddle",15.5,28.5,14.45,26.5666666666667,7.67977864264329,9.58366666086977,86.7,159.4,6,8.05,1.84,920
"865","Trough",3.5,25.6,7.78333333333333,33.35,9.75743492070965,27.0793519927606,186.8,800.4,24,17.34,4.28,920
"866","Wall",5.45,31.7,8.25,40.5,6.84095509900969,26.472022967654,132,648,16,12.25,4.91,920
"867","Bowl",1,5.6,1.56521739130435,6.47826086956522,1.39727289442756,3.21911288199646,36,149,23,5.1,4.14,937
"868","Bowl Transition",1.6,10.8,2.79285714285714,13.7928571428571,2.84239447459468,10.1684307602985,78.2,386.2,28,11.09,4.94,937
"869","Mound",2.3,13.4,4.40555555555556,18.3722222222222,5.21393432171054,14.8350282605752,158.6,661.4,36,22.49,4.17,937
"870","Mound Transition",0.55,7,1.0948275862069,11.2655172413793,1.38822395859805,11.7260177312262,63.5,653.4,58,9,10.29,937
"871","Plane",3.3,25.7,6.405,44.69,9.64504099470156,55.4220353289195,128.1,893.8,20,18.17,6.98,937
"872","Saddle",7.05,18.9,8.35,19.8,5.43476463765145,8.10760959428445,33.4,79.2,4,4.74,2.37,937
"873","Trough",4.1,22.2,7.35294117647059,44.7529411764706,12.1295670598263,68.1687439158066,125,760.8,17,17.73,6.09,937
"874","Wall",2.4,15.8,3.304,24.24,4.09048489383186,26.82523687376,82.6,606,25,11.71,7.34,937
