"RS","Condition","unit.type","variable","avg","sd","med","min","max","n"
"AF","mod","Chute","area.sd",50.044,NA,50.044,50.044,50.044,1
"AF","mod","Chute","area.sum",136.948,168.797702377728,136.948,17.59,256.306,2
"AF","mod","Chute","n",2.5,2.12132034355964,2.5,1,4,2
"AF","mod","Chute","perim.area.ratio",2.3115,0.422142748368369,2.3115,2.013,2.61,2
"AF","mod","Chute","perim.mean",101.328,93.2362717401334,101.328,35.4,167.256,2
"AF","mod","Chute","perim.med",91.9,79.9030662740799,91.9,35.4,148.4,2
"AF","mod","Chute","perim.sd",121.172,NA,121.172,121.172,121.172,1
"AF","mod","Chute","perim.sum",352.212,448.039827122545,352.212,35.4,669.024,2
"AF","mod","Glide-Run","area.mean",1255.50258333333,1519.45429599693,692.0765,100.803,4364.07,12
"AF","mod","Glide-Run","area.med",1089.717,1553.72347251164,459.999,50.94,4364.07,12
"AF","mod","Glide-Run","area.ratio",0.399333333333333,0.117065120442608,0.398,0.247,0.591,12
"AF","mod","Glide-Run","area.sd",603.7618,797.718108213087,277.002,19.346,2508.372,10
"AF","mod","Glide-Run","area.sum",2252.11866666667,1662.6585770812,1643.3595,302.41,5446.631,12
"AF","mod","Glide-Run","n",3.25,2.00567377026456,3,1,8,12
"AF","mod","Glide-Run","perim.area.ratio",0.829833333333333,0.4162996808099,0.802,0.281,1.728,12
"AF","mod","Glide-Run","perim.mean",643.89525,579.257854093122,417.3365,98.85,1972.4,12
"AF","mod","Glide-Run","perim.med",589.65125,605.778464654759,407.7,56.4,1972.4,12
"AF","mod","Glide-Run","perim.sd",311.535,285.130907618082,244.524,29.039,1026.975,10
"AF","mod","Glide-Run","perim.sum",1342.31008333333,564.768325037872,1276.3005,522.6,2351.084,12
"AF","mod","Margin Attached Bar","area.mean",70.893,38.3859692169844,62.7095,13.329,147.546,12
"AF","mod","Margin Attached Bar","area.med",54.2103333333333,43.0476451838981,40.695,10.19,144.61,12
"AF","mod","Margin Attached Bar","area.ratio",0.182166666666667,0.0353574817422213,0.187,0.104,0.237,12
"AF","mod","Margin Attached Bar","area.sd",60.8466666666667,27.1266033605166,62.691,15.675,124.55,12
"AF","mod","Margin Attached Bar","area.sum",908.674166666667,435.420870173139,963.421,199.93,1588.64,12
"AF","mod","Margin Attached Bar","n",13.5,3.82575007500015,13.5,7,22,12
"AF","mod","Margin Attached Bar","perim.area.ratio",1.46033333333333,0.477647708393261,1.334,0.957,2.786,12
"AF","mod","Margin Attached Bar","perim.mean",91.9501666666667,38.0366573233418,80.551,37.133,154.782,12
"AF","mod","Margin Attached Bar","perim.med",83.0749166666667,43.1659234823412,68.8,31.2,162.2,12
"AF","mod","Margin Attached Bar","perim.sd",64.6229166666667,24.8290148175598,61.5885,29.993,120.102,12
"AF","mod","Margin Attached Bar","perim.sum",1206.93175,521.055889176815,1091.1005,557,2134.78,12
"AF","mod","Mid Channel Bar","area.mean",23.3304,27.2167425889939,10.472,1.568,72.821,10
"AF","mod","Mid Channel Bar","area.med",18.7516,25.5938324610529,9.3,1.585,72.821,10
"AF","mod","Mid Channel Bar","area.ratio",0.0192,0.0248899801348075,0.007,0,0.081,10
"AF","mod","Mid Channel Bar","area.sd",30.077125,36.9230365042805,10.9895,0.926,96.561,8
"AF","mod","Mid Channel Bar","area.sum",95.7953,115.82106668099,31.415,2.48,336.59,10
"AF","mod","Mid Channel Bar","n",3.7,2.62678510731274,3,1,10,10
