SiteName,Watershed,visit.id,Gradient,LWfreq,Braid,Sinuosity,bfw,bfd,cover,Ucut,D50,Bldr,Cbl,Gvl,Sndf,Planform,Threads,Bedform,Substrate,Confinement,LONG_DD,LAT_DD
CBW05583-007410,John Day,3432,7.534,46.875,1.09,1.197,5.8,NA,NA,NA,152,NA,NA,NA,NA,Sinuous,Single,Cascade,boulder-cobble,CV,372422,4949001
SFT00001-000024,Walla Walla,3464,1,31.20649095,1,1.13,13.95,0.44,23.9,3.02,69,3.84,18.28,55.7,15.7,Sinuous,Single,Plane-Bed,gravel,PCV,426221,5115963
CBW05583-095403,Wenatchee,3466,0.104,53.46,1,1.23,46.52,1.21,19.61,0.3,22,0,2.37,60.62,36.09,Meandering,Single,Pool-Riffle,gravel-sand,UCV,658612,5305627
CBW05583-038111,Lemhi,3501,0.6635,11.84490313,1.39,1.185,18.555,0.52,11.225,3.565,48,2.605,28.505,36.11,25.145,Wandering,Transitional,Plane-Bed,cobble-gravel-sand,UCV,NA,NA
CBW05583-219122,John Day,3512,0.737,9.61,1.45,1.07,15.28,0.37,25.24,0.62,74,5.31,23.94,36.41,17.49,Wandering,Transitional,Pool-Riffle,cobble-gravel,PCV,372609,4943093
CBW05583-019570,John Day,3528,0.683,0,1,1.06,11.48,0.54,5.94,NA,79,3.25,36.35,25.13,34.27,Sinuous,Single,Plane-Bed,cobble-gravel-sand,PCV,296771,4915623
JDW00001-Burrow Pit B,John Day,3615,1,0,1,1.03,3.85,0.28,4.81,NA,61.5,17.2,37.87,34.68,7.6,Straight,Single,Pool-Riffle,cobble-gravel,PCV,713916,4954700
JDW00001-Pats Cabin 2,John Day,3620,0.7905,0,1.68,1.255,12.815,0.175,22.78,NA,16,0.94,12.265,33.795,39.595,Anabranching,Multi,Pool-Riffle,gravel-sand,PCV,715269,4952223
JDW00001-Upper Owens D,John Day,3637,1,1.049418219,1,1.07,3.695,0.245,22.52,NA,33.5,4.045,24.495,44.405,22.925,Sinuous,Single,Plane-Bed,cobble-gravel-sand,PCV,724062,4940246
CBW05583-491690,Upper Grande Ronde,3701,0.7285,75.405,1.27,1.25,20.075,0.41,11.36,2.015,54.5,0.665,31.255,45.095,16.47,Wandering,Transitional,Pool-Riffle,cobble-gravel ,UCV,NA,NA
ASW00001-NF-F2 P2,Asotin,3949,2,29.48,1,1.17,10.29,0.38,9.48,4.31,59,8.31,35.47,40.11,10.17,Sinuous,Single,Plane-Bed,cobble-gravel,UCV,NA,NA
YFI00001-001129,Yankee Fork,3975,0.301,20.135,1,1.035,7.28,0.415,38.985,0.95,12,2.985,5.915,7.59,81.73,Sinuous,Transitional,Pool-Riffle,sand,PCV,NA,NA
CBW05583-055979,Entiat,3979,0.774,156.09,1.93,1.16,45.55,0.7,28.62,6.05,97,10.25,43.95,31.5,6.69,Anabranching,Multi,Pool-Riffle,cobble-gravel,PCV,684190,5314041
CBW05583-141995,Entiat,3983,2,52.39,1,1.07,13.92,0.55,32.89,2.49,113,30.17,37.1,23.81,8.49,Sinuous,Single,Plane-Bed,boulder-cobble-gravel,CV,687555,5297482
CBW05583-503467,Entiat,3991,3,26.25,1,1.05,5.25,0.33,20.18,NA,43,16.85,33.28,27.73,13.68,Sinuous,Single,Rapid,cobble-gravel,CV,NA,NA
CBW05583-014169,Methow ,4000,0.5645,4.191258425,1,1.09,22.915,0.66,10.08,0.67,93,4.34,47.96,28.515,13.95,Wandering,Transitional,Plane-Bed,cobble-gravel,PCV,711510,5398655
WC503432-000038,Wenatchee,4024,0.051,24.07491659,1,1.52,32.24,1.13,8.48,1.345,8,0,0,51.65,48.18,Meandering,Single,Pool-Riffle,gravel-sand,UCV,669023,5308641
CBW05583-314219,Wenatchee,4086,0.191,8.51,1,1.08,40.05,0.83,5.13,4.15,44,0,36.53,56.93,6.44,Sinuous,Single,Pool-Riffle,cobble-gravel ,PCV,653017,5301820
CBW05583-170443,Tucannon,4147,1,81.505,1.72,1.13,25.08,0.57,40,3.515,51.5,2.03,21.36,34.75,10.52,Anabranching,Multi,Pool-Riffle,cobble-gravel,UCV,NA,NA
CBW05583-214911,Tucannon,4179,1,12.77880714,1.19,1.07,15.26,0.405,15.05,2.97,70.5,15.93,37.04,28.59,7.33,Wandering,Transitional,Plane-Bed,cobble-gravel,PCV,NA,NA
YFI00001-000595,Yankee Fork,4182,1,6.49,1,1.04,14.21,0.66,10.8,NA,81,24.57,23.1,28.08,12.32,Straight,Single,Plane-Bed,boulder-cobble-gravel,CV,NA,NA
